[0.016s] Invoking command in '/home/dpkings/Multi-map/build/openslam_gmapping': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/dpkings/eyrc-24-25-logistic-cobot/install/ur5_control:/opt/ros/humble /usr/bin/cmake /home/dpkings/Multi-map/src/slam_gmapping/openslam_gmapping -DCMAKE_INSTALL_PREFIX=/home/dpkings/Multi-map/install/openslam_gmapping
[0.027s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.153s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.230s] -- Configuring done
[0.247s] -- Generating done
[0.248s] -- Build files have been written to: /home/dpkings/Multi-map/build/openslam_gmapping
[0.251s] Invoked command in '/home/dpkings/Multi-map/build/openslam_gmapping' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/dpkings/eyrc-24-25-logistic-cobot/install/ur5_control:/opt/ros/humble /usr/bin/cmake /home/dpkings/Multi-map/src/slam_gmapping/openslam_gmapping -DCMAKE_INSTALL_PREFIX=/home/dpkings/Multi-map/install/openslam_gmapping
[0.252s] Invoking command in '/home/dpkings/Multi-map/build/openslam_gmapping': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/dpkings/eyrc-24-25-logistic-cobot/install/ur5_control:/opt/ros/humble /usr/bin/cmake --build /home/dpkings/Multi-map/build/openslam_gmapping -- -j8 -l8
[0.288s] [35m[1mConsolidate compiler generated dependencies of target sensor_base[0m
[0.288s] [35m[1mConsolidate compiler generated dependencies of target utils[0m
[0.304s] [ 13%] Built target utils
[0.304s] [ 27%] Built target sensor_base
[0.317s] [35m[1mConsolidate compiler generated dependencies of target sensor_odometry[0m
[0.317s] [35m[1mConsolidate compiler generated dependencies of target sensor_range[0m
[0.333s] [ 40%] Built target sensor_odometry
[0.335s] [ 54%] Built target sensor_range
[0.346s] [35m[1mConsolidate compiler generated dependencies of target scanmatcher[0m
[0.358s] [ 77%] Built target scanmatcher
[0.368s] [35m[1mConsolidate compiler generated dependencies of target gridfastslam[0m
[0.380s] [100%] Built target gridfastslam
[0.390s] Invoked command in '/home/dpkings/Multi-map/build/openslam_gmapping' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/dpkings/eyrc-24-25-logistic-cobot/install/ur5_control:/opt/ros/humble /usr/bin/cmake --build /home/dpkings/Multi-map/build/openslam_gmapping -- -j8 -l8
[0.415s] Invoking command in '/home/dpkings/Multi-map/build/openslam_gmapping': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/dpkings/eyrc-24-25-logistic-cobot/install/ur5_control:/opt/ros/humble /usr/bin/cmake --install /home/dpkings/Multi-map/build/openslam_gmapping
[0.422s] -- Install configuration: ""
[0.423s] -- Execute custom install script
[0.423s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libgridfastslam.a
[0.423s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libscanmatcher.a
[0.423s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libsensor_base.a
[0.423s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/share/openslam_gmapping/environment/library_path.sh
[0.424s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/share/openslam_gmapping/environment/library_path.dsv
[0.424s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/share/openslam_gmapping/environment/library_path.sh
[0.424s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/share/openslam_gmapping/environment/library_path.dsv
[0.424s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libsensor_odometry.a
[0.424s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libsensor_range.a
[0.425s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/lib/libutils.a
[0.425s] -- Up-to-date symlink: /home/dpkings/Multi-map/install/openslam_gmapping/share/openslam_gmapping/environment/library_path.sh
